country,MEP,party,handle
DE,Reimer Böge ,CDU,
DE,Elmar Brok,CDU,ElmarBrok_MEP
DE,Klaus Buchner,ÖDP,Dr_KlausBuchner
DE,Udo Bullmann,SPD,UdoBullmann
DE,Reinhard Bütikofer,Grünen,bueti
DE,Daniel Caspary,CDU,caspary
DE,Birgit Collin-Langen ,CDU,
DE,Michael Cramer ,Grünen ,MepMCramer
DE,Albert Dess,CSU,albert_dess
DE,Michael Detjen,SPD,MichaelDetjen
DE,Stefan Eck ,Unabhängig,Stefan_Eck_MEP
DE,Christian Ehler,CDU,
DE,Cornelia Ernst,Linke ,ErnstCornelia
DE,Ismail Ertug,SPD,IsmailErtug
DE,Markus Ferber,CSU,MarkusFerber
DE,Knut Fleckenstein ,SPD,knutfleckenstein 
DE,Karl-Heinz Florenz ,CDU,
DE,Romeo Franz ,Grünen,RomeoFranz1
DE,Michael Gahler,CDU,
DE,Evelyne Gebahrdt,SPD,
DE,Stefan Gerhold,CDU,
DE,Jens Geier,SPD,EuropaJens
DE,Arne Gericke,Bündnis C,Arne_Gericke
DE,Sven Giegold,Grünen,sven_giegold
DE,Jens Gieseke,CDU,
DE,Ingeborg Grässle,CDU,inge_graessle
DE,Thomas Händel,Linke ,thaendel
DE,Rebecca Harms,Grünen,RebHarms
DE,Martin Häusling ,Grünen,MartinHaeusling
DE,Hans-Olaf Henkel,Unabhängig,HansOlafHenkel
DE,Maria Heubach,Grünen,
DE,Nadja Hirsch,FDP,nadjahirsch
DE,Iris Hoffmann,SPD,
DE,Monika Hohlmeier,CSU,MHohlmeier
DE,Peter Jahr,CDU,peter_jahr
DE,Petra Kammerevert,SPD,
DE,Sylvia-Yvonne Kaufmann,SPD,KaufmannSylvia
DE,Ska Keller ,Grünen,SkaKeller
DE,Wolf Klinz,FDP,
DE,Dieter-Lebrecht Koch,CDU,
DE,Arndt Kohn,SPD,
DE,Bernd Kölmel,Unabhängig,Bernd_Koelmel
DE,Dietmar Köster,SPD,
DE,Constanze Krehl,SPD,ConstanzeKrehl
DE,Werner Kuhn ,CDU,WernerKuhnMdEP
DE,Bernd Lange ,SPD,berndlange
DE,Werner Langen,CDU,langen_werner
DE,Jo Leinen,SPD,jo_leinen
DE,Peter Liese ,CDU,peterliese
DE,Arne Lietz,SPD,ArneLietz
DE,Norbert Lins,CDU,
DE,Barbara Lochbihler,Grünen,blochbihler
DE,Sabine Lösing ,Linke ,
DE,Bernd Lucke ,Liberal-Conservative Reformists,BerndLucke
DE,David McAllister,CDU,davidmcallister
DE,Thomas Mann,CDU,ThomasMannEP
DE,Gesine Meissner ,FDP,gesine_meissner
DE,Susanne Melior,SPD,
DE,Jörg Meuthen,AfD,Joerg_Meuthen
DE,Martina Michels,Linke ,martina_michels
DE,Ulrike Müller,Freie Wähler,UliMuellerMdEP
DE,Norbert Neusser,SPD,
DE,Angelika Niebler,CSU,ANiebler
DE,Maria Noichl,SPD,MariaNoichl
DE,Markus Pieper,CDU,markuspieperMEP
DE,Marcus Pretzell,Die blaue Partei,MarcusPretzell
DE,Gabriele Preuss,SPD,GabrielePreuss
DE,Godelieve Quisthoudt-Rowohl,CDU,GQuisthoudt
DE,Dennis Radtke,CDU,RadtkeMdEP
DE,Julia Reda,Piratenpartei,Senficon
DE,Terry Reintke ,Grünen ,TerryReintke
DE,Ulrike Rodust,SPD,UlrikeRodust
DE,Martin Schirdewan,Linke ,schirdewan
DE,Helmut Scholz,Linke ,HelmutScholzMEP
DE,Sven Schulze,CDU,schulzeeuropa
DE,Joachim Schuster,SPD,
DE,Andreas Schwab,CDU,Andreas_Schwab
DE,Peter Simon,SPD,PeterSimonMEP
DE,Birgit Sippel,SPD,BirgitSippelMEP
DE,Renate Sommer,CDU,
DE,Martin Sonneborn,Die Partei,MartinSonnebron
DE,Joachim Starbatty,Unabhängig,JStarbatty
DE,Ulrike Trebesius,Unabhängig,TrebesiusMdEP
DE,Helga Trüpel,Grünen,HelgaTruepel
DE,Sabine Verheyen,CDU,sabineverheyen
DE,Udo Voigt,NPD,
DE,Axel Voss,CDU,AxelVossMdEP
DE,Manfred Weber ,CSU,ManfredWeber
DE,Martina Werner ,SPD,MartinaWernerEU
DE,Rainer Wieland ,CDU,
DE,Hermann Winkler ,CDU,
DE,Babette Winter,SPD,
DE,Tiemo Wölken,SPD,woelken
DE,Joachim Zeller,CDU,
DE,Gabriele Zimmer,Linke ,GabiZimmerMEP
AT,Heinz K. Becker,ÖVP,
AT,Eugen Freund ,SPÖ,EugenAFreund
AT,Karoline Graswander-Hainz,SPÖ,graswanderhainz
AT,Karin Kadenbach,SPÖ,karinkadenbach
AT,Barbara Kappel,FPÖ,b_kappel
AT,Othmar Karas,ÖVP,othmar_karas
AT,Lukas Mandel,ÖVP,
AT,Georg Mayer,FPÖ,
AT,Angelika Mlinar,NEOS,AngelikaMlinar
AT,Franz Obermayr,FPÖ,
AT,Evelyn Regner,SPÖ,Evelyn_Regner
AT,Michel Reimon,Grünen,michelreimon
AT,Paul Rubig,ÖVP,PaulRuebig
AT,Claudia Schmidt,ÖVP,
AT,Monika Vana,Grünen,MonikaVana
AT,Harald Vilimsky,FPÖ,vilimsky
AT,Thomas Waitz,Grünen,
AT,Josef Weidenholzer,SPÖ,Weidenholzer
IE,Lynn Boylan,Sinn Féin,LNBDublin
IE,Matt Carthy,Sinn Féin,mattcarthy
IE,Nessa Childers,Independet,NChildersMEP
IE,Deirdre Clune,Fine Gael Party,DeirdreCluneMEP
IE,Brian Crowley,Fianna Fáil Party,
IE,Luke Ming Flanagan,Independent,lukeming
IE,Marian Harkin,Independent,MarianHarkin
IE,Brian Hayes ,Fine Gael Party,brianhayesMEP
IE,Seán Kelly,Fine Gael Party,SeanKellyMEP
IE,Mairead McGuinness,Fine Gael Party,MaireadMcGMEP
IE,Liadh Ní Riada,Sinn Féin,LiadhNiRiadaMEP
ES,Clara Eugenia Aguilera García,Partido Socialista Obrero Español,ClaraAguilera7
ES,Marina Albiol Guzmán,Izquierda Unida,MarinaAlbiol
ES,Inés Ayala Sender,Partido Socialista Obrero Español,IAyalaSender
ES,Pilar Ayuso,Partido Popular,ayuso_pilar
ES,Beatriz Becerra Basterrechea,Independent ,beatrizbecerrab
ES,Xabier Benito Ziluaga,Podemos,xabierbenito
ES,Izaskun Bilbao Barandica,Partido Naccionalista Vasco,IzaskunBilbaoB
ES,José Blanco López,Partido Socialista Obrero Español,
ES,Soledad Cabezón Ruiz,Partido Socialista Obrero Español,SoledadCabezon
ES,Enrique Calvet Chambon,Independent ,EnriqueCalvet
ES,Pilar del Castillo Vera ,Partido Popular,delcastillop
ES,Javier Couso Permuy,Independent,Caninator
ES,Agustín Díaz de Mera García Consuegra,Partido Popular,
ES,Rosa Estarás Ferragut,Partido Popular,
ES,Jonás Fernández,Partido Socialista Obrero Español,jonasfernandez
ES,Santiago Fisas Ayxelá,Partido Popular,SantiagoFisas
ES,Francesc Gambús,,fgambus_eu
ES,Iratxe García Pérez,Partido Socialista Obrero Español,IratxeGarper
ES,Eider Gardiazabal Rubial,Partido Socialista Obrero Español,EGardiazabal
ES,María Teresa Giménez Barbat,,gimenezbarbat
ES,Tania Gonzáles Peñas,Podemos,
ES,Esteban Gonzáles-Pons,Partido Popular,
ES,Luis de Grandes Pascual,Partido Popular,
ES,Enrique Guerrero Salom,Partido Socialista Obrero Español,
ES,Sergio Gutiérrez Prieto,Partido Socialista Obrero Español,Sergio_GP
ES,Esther Herranz García,Partido Popular,
ES,Carlos Iturgaiz,Partido Popular,carlositurgaiz
ES,Ramón Jáuregui Atondo,Partido Socialista Obrero Español,
ES,Teresa Jiménez-Becerril Barrio,Partido Popular,teresajbecerril
ES,Verónica Lope Fontagné,Partido Popular,
ES,Javi López,Partit dels Socialistes de Catalunya,fjavilopez
ES,Juan Fernando López Aguilar ,Partido Socialista Obrero Español,JFLopezAguilar
ES,Paloma López Bermejo ,Izquierda Unida,palomalopezB
ES,Antonio López-Istúriz White,Partido Popular,TonoEPP
ES,Florent Marcellesi,EQUO,
ES,Gabriel Mato ,Partido Popular,GabrielMatoA
ES,Francisco José Millán Mon,Partido Popular,
ES,Ana Miranda ,Bloque Nacionalista Galego,anamirandapaz
ES,Javier Nart,Ciudadanos- Partido de la Ciudadanía,
ES,Maite Pagazaurtundúa Ruiz,Unión, Progreso y Democracia,maitepagaza
ES,Carolina Punset,Independent,CarolinaPunset
ES,Inmaculada Rodríguez-Piñero Fernández,Partido Socialista Obrero Español,RodriguezPinero
ES,José Ignacio Salafranca Sánchez-Neyra,Partido Popular,
ES,Lola Sánchez Caldentey,Podemos,LolaPodemos
ES,Maria Lidia Senra Rodríguez,Alternativa galega de esquerda en Europa,LidiaSenra
ES,Jordi Solé,Esquerra Republicana de Catalunya,jordisolef
ES,Josep-Maria Terricabras,Esquerra Republicana de Catalunya,jmterricabras
ES,Estefanía Torres Martínez,Podemos,etorrespodemos
ES,Ramon Tremosa i Balcells,Partit Demòcrata Europa i Català ,ramontremosa
ES,Miguel Urbán Crespo,Podemos,MiguelUrban
ES,Ernest Urtasun,Iniciativa per Catalunya Verds,ernesturtasun
ES,Ramón Luis Valcárcel Siso,Partido Popular,RL_Valcarcel
ES,Elena Valenciano,Partido Socialista Obrero Español,ElenaValenciano
ES,Ángela Vallina,Izquierda Xunida,AngelaVallina
FR,Michèle Alliot-Marie,Les Républicains ,MAlliotMarie
FR,Eric Andrieu,Parti Socialiste,EricAndrieuEU
FR,Marie-Christine Arnautu,Rassemblement national,MCArnautu
FR,Jean Arthuis,Le République en marche,JeanArthuis
FR,Guillaume Balas,Génération.s, le mouvement,BalasGuillaume
FR,Nicolas Bay,Rassemblement national,NicolasBay_
FR,Pervenche Berès ,Parti Socialiste,PervencheBeres
FR,Joëlle Bergeron ,Sans étiquette,
FR,Dominique Bilde,Rassemblement national,DominiqueBilde
FR,Marie-Christine Boutonnet,Rassemblement national,
FR,José Bové,Europe Écologie,josebove
FR,Steeve Briois,Rassemblement national,SteeveBriois
FR,Alain Cadec,Les Républicains ,AlainCadec
FR,Jean-Marie Cavada,Génération Citoyens,JeanMarieCAVADA
FR,Aymeric Chauprade,Les Français Libres,a_chauprade
FR,Jacques Colombier,Rassemblement national,
FR,Thierry Cornillet,Mouvement Radical,
FR,Arnaud Danjean,Les Républicains ,ArnaudDanjean
FR,Michel Dantin,Les Républicains ,MichelDANTIN
FR,Rachida Dati,Les Républicains ,datirachida
FR,Angélique Delahaye,Les Républicains ,Delahaye_Europe
FR,Karima Delli,Europe Écologie,KarimaDelli
FR,Geoffroy Didier,Les Républicains ,GeoffroyDidier
FR,Mireille D'Ornano ,Les Patriotes,MireilledOrnano
FR,Pascal Durand ,Europe Écologie,PDurandOfficiel
FR,Karine Gloanec Maurin ,Parti Socialiste,KGloanecMaurin
FR,Sylvie Goddyn,Debout la France,Sylvie_Goddyn
FR,Bruno Gollnisch,Front national,brunogollnisch
FR,Nathalien Griesbeck,Mouvement Démocrate,Nat_GRIESBECK
FR,Françoise Grossetete,Les Républicains ,GrosseteteF
FR,Sylvie Guillaume,Parti Socialiste,sylvieguillaume
FR,Brice Hortefeux,Les Républicains ,BriceHortefeux
FR,Yannick Jadot,Europe Écologie,yjadot
FR,Jean-François Jalkh,Rassemblement national,JFJalkh
FR,France Jamet,Rassemblement national,FranceJamet
FR,Eva Joly,Europe Écologie,EvaJoly
FR,Marc Joulaud,Les Républicains ,MarcJoulaud
FR,Philippe Juvin,Les Républicains ,philippejuvin
FR,Patricia Lalonde,Union des Démocrats et Indépendants,patricialalond2
FR,Alain Lamassoure,Independent,ALamassoure
FR,Jérôme Lavrilleux ,Independent,lavrilleux_j
FR,Gilles Lebreton,Rassemblement national,Gilles_Lebreton
FR,Christelle Lechevalier,Rassemblement national,C_Lechevalier14
FR,Patrick Le Hyaric,Front de Gauche,PatrickLeHyaric
FR,Jean-Marie Le Pen,Front national,lepenjm
FR,Philippe Loiseau,Rassemblement national,ph_loiseau
FR,Louis-Joseph Manscour,Parti Socialiste,
FR,Dominique Martin,Rassemblement national,DMartinFN
FR,Edouard Martin,Parti Socialiste,edouardmartinEU
FR,Emmanuel Maurel,Parti Socialiste,emmanuelmaurel
FR,Joëlle Mélin,Rassemblement national,JoelleMelinRN
FR,Bernard Monot,Debout la France,Bernard_Monot
FR,Sophie Montel,Independent,Sophie_Montel
FR,Nadine Morano,Les Républicains ,nadine__morano
FR,Elisabeth Morin-Chartier,Independent,emorinchartier
FR,Renaud Muselier,Les Républicains ,RenaudMuselier
FR,Younous Omarjee,L' union pour les Outremer,younousomarjee
FR,Gilles Pargneaux,Parti Socialiste,gillespargneaux
FR,Vincent Peillon ,Parti Socialiste,Vincent_Peillon
FR,Florian Philippot,Les Patriotes,f_philippot
FR,Maurice Ponga,Les Républicains ,mauriceponga
FR,Franck Proust,Les Républicains ,franckproust
FR,Christine Revault D'Allonnes Bonnefoy,Parti Socialiste,cdallonnes
FR,Dominique Riquet,Mouvement Radical Social-Libéral,DominiqueRiquet
FR,Michèle Rivasi,Europe Écologie,MicheleRivasi
FR,Robert Rochefort,Mouvement Démocrate,
FR,Virgine Rozière,Les radicaux de Gauche,Vroziere
FR,Tokia Saïfi ,Agir- La Droite constructive,TokiaSaifi
FR,Anne Sander,Les Républicains ,ASanderMEP
FR,Jean-Luc Schaffhauser,Rassemblement bleu Marine,
FR,Isabelle Thomas,Génération.s, le mouvement,Isabel_thomasEU
FR,Myène Troszczynski,Rassemblement national,Troszczynski_FN
FR,Marie-Christine Vergiat,Front de Gauche,MCVergiat
FR,Marie-Pierre Vieu,Front de Gauche,mariepierrevieu
IT,Isabella Adinolfi,Movimento 5 Stelle,Isa_Adinolfi
IT,Marco Affronte,Federazione dei Verdi,marcoaffronte
IT,Laura Agea,Movimento 5 Stelle,AgeaLaura
IT,Daniela Aiuto,Independent,DanielaAiuto
IT,Tiziana Beghin,Movimento 5 Stelle,beghin_t
IT,Brando Benifei,Partito Democratico,brandobenifei
IT,Goffredo Maria Bettini,Partito Democratico,GoffredoBettini
IT,Mara Bizzotto,Lega Nord,marabizzotto
IT,Simona Bonafè,Partio Democratico,simonabonafe
IT,Mario Borghezio,Lega Nord,
IT,David Borrelli,Movimento 5 Stelle,borrellidavid
IT,Mercedes Bresso,Partito Democratico,mercedesbresso
IT,Renata Briano,Partito Democratico,renatabriano
IT,Nicola Caputo,Partito Democratico,NicolaCaputo
IT,Fabio Massimo Castaldo,Movimento 5 Stelle,FMCastaldo
IT,Lorenzo Cesa,Unione di Centro,L_Cesa
IT,Caterina Chinnici,Partito Democratico,CaterinaChinnic
IT,Salvatore Cicu,Forza Italia,SalvoCicu
IT,Angelo Ciocca,Lega Nord,AngeloCiocca
IT,Alberto Cirio,Forza Italia,Alberto_Cirio
IT,Sergio Gaetano Cofferati,Sinistra Italiana,Cofferati
IT,Lara Comi,Forza Italia,comilara
IT,Ignazio Corrao,Movimento 5 Stelle,ignaziocorrao
IT,Silvia Costa,Partito Democratico,SilviaCostaEU
IT,Andrea Cozzoliono,Partito Democratico,cozzolino62
IT,Rosa D'Amato,Movimento 5 Stelle,rosadamato634
IT,Nicola Danti,Partito Democratico,DantiNicola
IT,Paolo De Castro,Partito Democratico,paolodecastro
IT,Isabella De Monte,Partito Democratico,IsabellaDeMonte
IT,Herbert Dorfmann,Südtiroler Volkspartei,HerbertDorfmann
IT,Elenora Evi,Movimento 5 Stelle,
IT,Giuseppe Ferrandino,Partito Democratico,
IT,Laura Ferrara,Movimento 5 Stelle,LFerraraM5S
IT,Raffaele Fitto,Conservatori e Riformisti,RaffaeleFitto
IT,Elenora Forenza ,Lista Tsipras-L'Altra Europa,
IT,Elisabetta Gardini,Forza Italia,EGardini
IT,Enrico Gasbarra,Partito Democratico,enricogasbarra
IT,Elena Gentile,Partito Democratico,elena_gentile
IT,Michela Giuffrida,Partito Democratico,m_giuffrida
IT,Roberto Gualtieri,Partito Democratico,gualtierieurope
IT,Cécile Kashetu Kyenge,Partito Democratico,ckyenge
IT,Danilo Oscar Lancini,Lega Nord,DOscarLancini
IT,Giovanni La Via,Forza Italia,giovannilavia
IT,Innocenzo Leontini,Fratelli D' Italia,ileontini
IT,Curzio Maltese,Lista Tsipras-L'Altra Europa,curziomaltesetw
IT,Fulvio Martusciello,Forza Italia,Fulvio Martusciello
IT,Barbara Matera,Forza Italia,
IT,Stefano Maullu,Fratelli D' Italia,stefanomaullu
IT,Giulia Moi,Independent,GiuliaMoi_M5S
IT,Luigi Morgano,Partito Democratico,luigi_morgano
IT,Alessia Maria Mosca,Partito Democratico,alessiamosca
IT,Alessandra Mussolini,Independent,Ale_Mussolini_
IT,Pier Antonio Panzeri,Articolo UNO- Moviemento Democratico eProgressista,AntonioPanzeri
IT,Massimo Paolucci,Articolo UNO- Moviemento Democratico eProgressista,MassimoPaolucc6
IT,Aldo Patriciello,Forza Italia,PatricielloAldo
IT,Piernicola Pedicini,Movimento 5 Stelle,PediciniM5S
IT,Pina Picierno,Partito Democratico,pinapic
IT,Massimiliano Salini,Forza Italia,Massimiliano Salini
IT,David-Maria Sassoli,Partito Democratico,DavidSassoli
IT,Elly Schlein,,ellyesse
IT,Giancarlo Scottà,Lega Nord,
IT,Remo Sernagiotto,Conservatori e Riformisti,SernagiottoRemo
IT,Renato Soru,Partito Democratico,
IT,Barbara Spinelli,Independent,
IT,Antonio Tajani,Forza Italia,Antonio_Tajani
IT,Dario Tamburrano,Movimento 5 Stelle,tamburrano
IT,Patrizia Toia,Partito Democratico,toiapatrizia
IT,Marco Valli,Independent,MarcoValliM5S
IT,Daniele Viotti,Partito Democratico,danieleviotti
IT,Marco Zanni,Lega Nord,Marcozanni86
IT,Flavio Zanonato,Articolo UNO- Moviemento Democratico eProgressista,flaviozanonato
IT,Damiano Zoffoli,Partito Democratico,DamianoZoffoli
IT,Marco Zullo,Movimento 5 Stelle,MarcoZullo
UK,John Stuart Agnew,United Kingdom Independence Party,
UK,Tim Aker,The Brexit Party,Tim_Aker
UK,Lucy Anderson,Labour Party,LucyAndersonMEP
UK,Martina Anderson,Sinn Fein,M_AndersonSF
UK,Jonathan Arnott,The Brexit Party,JonathanArnott
UK,Richard Ashworth,Change UK - The Independent Group,RichardAshMEP
UK,Janice Atkinson,Independent,Janice4Brexit
UK,Amjad Bashir,Conservative Party,AmjadBashirMEP
UK,Gerard Batten,United Kingdom Independence Party,GerardBattenMEP
UK,Catherine Bearder,Liberal Democrats,Catherine Bearder
UK,Louise Bours,Independent,
UK,Paul Brannen,Labour Party,PaulBrannenNE
UK,Jonathan Bullock,The Brexit Party,JonathanMEP
UK,David Campbell Bannerman,Conservative Party,David Campbell Bannerman
UK,James Carver,Independent,JamesJimCarver
UK,David Coburn,The Brexit Party,Coburn4Brexit
UK,Jane Collins ,The Brexit Party,Jane_CollinsMEP
UK,Richard Corbett,Labour Party,RCorbettMEP
UK,Daniel Dalton,Conservative Party,ddalton40
UK,Seb Dance,Labour Party,SebDance
UK,William (The Earl of) Dartmouth,Independent,
UK,Nirj Deva,Conservative Party,NirjDeva
UK,Diane Dodds,Democratic Unionist Party,DianeDoddsMEP
UK,Bill Etheridge,The Brexit Party,billethmep
UK,Jill Evans ,Plaid Cymru- Party of Wales,JillEvansMEP
UK,Nigel Farage,The Brexit Party,Nigel_Farage
UK,Raymond Finch,The Brexit Party,
UK,John Flack,Conservative Party,JohnFlackMEP
UK,Jacqueline Foster,Conservative Party,jfoster2019
UK,Ashley Fox,Conservative Party,Ashleyfoxmep
UK,Neena Gill,Labour Party,NeenaGmep
UK,Nathan Gill,The Brexit Party,NathanGillMEP
UK,Julie Girling,Conservative Party,juliegirling
UK,Theresa Griffin,Labour Party,TheresaMEP
UK,Daniel Hannan,Conservative Party,
UK,Mary Honeyball,Labour Party,maryhoneyball
UK,Mike Hookem,United Kingdom Independence Party,mikehookemmep
UK,John Howarth,Labour Party,JohnHowarth1958
UK,Ian Hudghton,Scottish National Party,hudghtonmepSNP
UK,Diane James,The Brexit Party,DianeJamesMEP
UK,Syed Kamall,Conservative Party,SyedKamall
UK,Sajjad Karim,Conservative Party,SHKMEP
UK,Wajid Khan,Labour Party,WajidKhanMEP
UK,Jude Kirton-Darling,Labour Party,Jude_KD
UK,Jean Lambert,Green Party,GreenJeanMEP
UK,Emma McClarkin,Conservative Party,EmmaMcClarkin
UK,Anthea McIntyre,Conservative Party,anthea_mcintyre
UK,David Martin,Labour Party,davidmartinmep
UK,Rupert Matthews,Conservative Party,RMatthewsMEP
UK,Alex Mayer,Labour Party,alexlmayer
UK,Baroness Nosheena Mobarik,Conservative Party,
UK,Clare Moody,Labour Party,ClareMoodyMEP
UK,Claude Moraes,Labour Party,Claude_Moraes
UK,James Nicholson,Ulster Unionist Party,JNicholsonMEP
UK,Paul Nuttall,The Brexit Party,
UK,Patrick O'Flynn,Social Democratic Party,oflynnmep
UK,Rory Palmer,Labour Party,Rory_Palmer
UK,Margot Parker,The Brexit Party,MargotLJParker
UK,John Procter,Conservative Party,
UK,Julia Reid,The Brexit Party,julia_reid
UK,Molly Scott Cato,Green Party,MollyMEP
UK,Jill Seymour,The Brexit Party,JSeymourUKIP
UK,Siôn Simon,Labour Party,sionsimon
UK,Alyn Smith,Scottish National Party,AlynSmith
UK,Kay Swinburne,Conservative Party,KaySwinburneMEP
UK,Charles Tannock,Conservative Party,Charles Tannock
UK,Keith Taylor,Green Party,GreenKeithMEP
