country,country_short,actor,party_short,name,handle,activity_recent
Austria,AT,individual,FPÖ,HCStrache,@HCStracheFP,yes
Austria,AT,party,FPÖ-TV,,@FPOE_TV,no
Austria,AT,individual,SPÖ,PamelaRendi-Wagner,@rendiwagner,yes
Austria,AT,party,SPÖ,SPÖ,@SPOE_at,yes
Austria,AT,individual,GrüneÖ,WernerKogler,@WKogler,yes
Austria,AT,party,GrüneÖ,DieGrünen,@Gruene_Austria,yes
Austria,AT,individual,KPÖ,,,
Austria,AT,party,KPÖ,KPÖ-EuropeanLeft,@KPOE_EL,yes
Austria,AT,individual,ÖVP,SebastianKurz,@sebastiankurz,yes
Austria,AT,party,ÖVP,Volkspartei,@volkspartei,yes
Austria,AT,individual,TS,,,
Austria,AT,party,TS,TeamStronach,@TeamStronach,no
Austria,AT,individual,BZÖ,,,
Austria,AT,party,BZÖ,,,
Austria,AT,individual,Martin,,,
Austria,AT,party,Martin,,,
Austria, AT, individual, NEOs, Beate Meinl-Reisinger, @BMeinl, yes
Austria, AT, party, NEOs, Das neue Österreich, @neos_eu, yes
Austria, AT, individual, JETZT, Maria Stern, @Maria__Stern, yes
Austria, AT, party, JETZT, Oberster Rat der Liste Pilz-Wähler, @RatPilz, no
France,FR,individual,FN,MarineLePen,@MLP_officiel,yes
France,FR,party,FN,RassemblementNational,@RNational_off,yes
France,FR,individual,FI,Jean-LucMélenchon,@JLMelenchon,yes
France,FR,party,FI,LaFranceinsoumise,@FranceInsoumise,yes
France,FR,individual,PS,OlivierFaure,@faureolivier,yes
France,FR,party,PS,Partisocialiste,@partisocialiste,yes
France,FR,individual,REM,EmmanuelMacron,@EmmanuelMacron,yes
France,FR,party,REM,DéputésLaREM,@LaREM_AN,yes
France,FR,individual,LR,LaurentWauquiez,@laurentwauquiez,yes
France,FR,party,LR,lesRépublicains,@lesRepublicains,yes
France, FR, individual, MODEM , Francois Bayrou, @bayrou, yes
France, FR, party, MODEM, Mouvement démocrate, @MoDem, yes ‏
France, FR, individual, LCRUDII, Franck Riester, @franckriester, yes
France, FR, party, UDI, UDI64, @UDI64, yes
France, FR, party, Agir, agir_ la droite constructive, @agir_officiel, yes
France, FR, party, LR, les Républicains, @lesRepublicains, yes
France, FR, individual, NG, Benoît Hamon, @benoithamon, yes
France, FR, party, NG, N.GaucheSocialiste, @NvelleGS, yes
France, FR, individual, GDR, André Chassaigne, @AndreChassaigne, yes
party cooporation, GDR, Gauche démocrate et républicaine, 
France, FR, party, PCF, @PCF, yes 
Germany,DE,individual,AfD,AliceWeidel,@Alice_Weidel,yes
Germany,DE,party,AfD,AfD,@AfD,yes
