country, party_long,party_engl, party_short, election, polidoc_exists, cmp_polidoc, popu_list, hcs18, leader
Austria, Freiheitliche Partei Österreich, Freedom Party of Austria, FPÖ, 2008, 1, 42420.000.2008.1.1, 1, 1,
Austria, Freiheitliche Partei Österreich, Freedom Party of Austria, FPÖ, 2013, 1,42420.000.2013.1.1, 1, 1,
Austria, Freiheitliche Partei Österreich, Freedom Party of Austria, FPÖ, 2017,1, 42420.000.2017.1.1, 1, 1,
Austria, Team Stronach, Team Stronach, TS, 2013, ready for upload, 42954.000.2013.1.1, 1, NA, 
Austria, Bündnis Zukunf Österreich, Alliance for the Future of Austria, BZÖ, 2008, 1, 42422.000.2008.1.1, 1, 0.2,
Austria, Bündnis Zukunf Österreich, Alliance for the Future of Austria, BZÖ, 2013, 1, 42422.000.2013.1.1 , 1, 0.2, 
Austria, Liste Dr. Martin, Hans-Peter Martin's List, Martin, 2006, 1 vermutlich für Europa 09, 42951.000.2008.1.1, 1, NA, 
Belgium, Vlaams Belang, Flemish Interest, VB, 2007, 1 Vlaams Block, 21914.000.2007.1.1, 1, NA,
Belgium, Vlaams Belang, Flemish Interest, VB, 2010, 1 Vlaams Block, 21914.000.2010.1.1, 1, NA,
Belgium, Vlaams Belang, Flemish Interest, VB, 2014, 1 Vlaams Block, 21914.000.2014.1.1, 1, NA,
Belgium, Libertair Direct Democratisch, "Libertarian, Direct, Democratic", LDD, 2007, 0, 21403.000.2007.1.1, 1, NA,
Belgium, Libertair Direct Democratisch, "Libertarian, Direct, Democratic", LDD, 2010, 0, 21403.000.2010.1.1, 1, NA,
Belgium, Libertair Direct Democratisch, "Libertarian, Direct, Democratic", LDD, 2014, 0, 21403.000.2014.1.1, 1, NA,
Belgium, Front National, National Front, FN, 2007, 0, 21701.000.2007.1.1, 1, NA,
Belgium, Front National, National Front, FN, 2010, 0, 21701.000.2010.1.1, 1, NA,
Denmark, Dansk Folkeparti, Danish People's Party, DF, 2007, 1, 13720.000.2007.1.1, 1, NA, 
Denmark, Dansk Folkeparti, Danish People's Party, DF, 2011, 1, 13720.000.2011.1.1, 1, NA,
Denmark, Dansk Folkeparti, Danish People's Party, DF, 2015, 1, 13720.000.2015.1.1, 1, NA,
Finland, Perussuomalaiset, Finns Party, PS, 2007, 1, 14820.000.2007.1.1, 1, NA,
Finland, Perussuomalaiset, Finns Party, PS, 2011, 1, 14820.000.2011.1.1, 1, NA,
Finland, Perussuomalaiset, Finns Party, PS, 2015, 1, 14820.000.2015.1.1, 1, NA,
Finland, Sininen tulevaisuus, Blue Reform, SIN, 2019, ready for upload, 14830.000.2019.1.1, 1, NA,
France, Front National, National Rally / Front, FN, 2007, 1, 31720.000.2007.1.1, 1, 0.4
France, Front National, National Rally / Front, FN, 2012, 1, 31720.000.2012.1.1, 1, 0.4
France, Front National, National Rally / Front, FN, 2017, 1, 31720.000.2017.1.1, 1, 0.4
France, La France insoumise, France Unbowed, FI, 2017, 1, 31951.000.2017.1.1, 1, NA
Germany, Alternative für Deutschland, Alternative for Germany, AfD, 2017, 1, 41953.000.2013.1.1, 1, 0, 
Germany, Alternative für Deutschland, Alternative for Germany, AfD, 2013, 1, 41953.000.2017.1.1, 1, 0, 
Germany, Die Linke, The Left (Germany), Linke, 2009, 1, 41223.000.2009.1.1, 1, 1.3, 
Germany, Die Linke, The Left (Germany), Linke, 2013, 1, 41223.000.2013.1.1, 1, 1.3,
Germany, Die Linke, The Left (Germany), Linke, 2017, 1, 41223.000.2017.1.1, 1, 1.3, 
Iceland, Miðflokkurinn, Centre Party, M, 2017, 0, 15995.000.2017.1.1, 1, NA,
Iceland, Flokkur fólksins, People's Party, FIF, 2017, 0, 15994.000.2017.1.1, 1, NA,
Iceland, Hreyfingin, The Movement, B-H, 2009, 0, 15120.000.2009.1.1, 1, NA,
Ireland, Sinn Féin, Sinn Féin, SF, 2007, 1, 53951.000.2007.1.1, 1, 0.325
Ireland, Sinn Féin, Sinn Féin, SF, 2011, 1, 53951.000.2011.1.1, 1, 0.325
Ireland, Sinn Féin, Sinn Féin, SF, 2016, 1, 53951.000.2017.1.1, 1, 0.325
Italy, Popolo della Libertà, The People of Freedom, PdL, 2008, 1, 32993.000.2008.1.1, 1,
Italy, Popolo della Libertà, The People of Freedom, PdL, 2013, 1, 32993.000.2013.1.1, 1,
Italy, Popolo della Libertà Forza Italia, The People of Freedom, PdL, 2018, 1 als Forza Italia, 31610.000.2018.1.1, 1,
Italy, Lega Nord, Northern League, LN, 2008, 0, 32720.000.2008.1.1, 1, 0,
Italy, Lega Nord, Northern League, LN, 2013, 0, 32720.000.2013.1.1, 1, 0,
Italy, Lega Nord, Northern League, LN, 2018, 1, 32720.000.2018.1.1, 1, 0,
Italy, Movimento 5 Stelle, Five Star Movement, M5S, 2013, 1, 32997.000.2013.1.1, 1, 0.1,
Italy, Movimento 5 Stelle, Five Star Movement, M5S, 2018, 1, 32997.000.2018.1.1, 1, 0.1,
Italy, Fratelli d'Italia, Brothers of Italy, Fdl, 2013, 0,  32740.000.2013.1.1, 1, NA,
Italy, Fratelli d'Italia, Brothers of Italy, Fdl, 2018, 1, 32740.000.2018.1.1, 1, NA, 
Netherlands, Partij voor de Vrijheid, Party for Freedom, PVV, 2006, 1, 22601.000.2006.1.1, 1, 1.25,
Netherlands, Partij voor de Vrijheid, Party for Freedom, PVV, 2010, 1, 22601.000.2010.1.1, 1, 1.25,
Netherlands, Partij voor de Vrijheid, Party for Freedom, PVV, 2012, 1, 22601.000.2012.1.1, 1, 1.25,
Netherlands, Partij voor de Vrijheid, Party for Freedom, PVV, 2017, 1, 22601.000.2017.1.1, 1, 1.25,
Netherlands, Socialistische Partij, Socialist Party (Netherlands), SP, 2006, 1, 22220.000.2006.1.1, 1, 0.2,
